left,bottom,right,top,Area
105000,5968000,106000,5969000,996986.322
105000,5969000,106000,5970000,996986.139
105000,5970000,106000,5971000,996986.136
105000,5971000,106000,5972000,996986.272
105000,5972000,106000,5973000,996986.221
105000,5973000,106000,5974000,996986.38
105000,5974000,106000,5975000,996986.157
105000,5975000,106000,5976000,996986.141
105000,5976000,106000,5977000,996986.232
105000,5977000,106000,5978000,996986.185
105000,5978000,106000,5979000,988222.159
106000,5932000,107000,5933000,997005.214
106000,5933000,107000,5934000,997005.16
106000,5934000,107000,5935000,997005.036
106000,5935000,107000,5936000,997005.313
106000,5936000,107000,5937000,997005.212
106000,5937000,107000,5938000,997005.224
106000,5938000,107000,5939000,997005.309
106000,5939000,107000,5940000,997005.125
106000,5940000,107000,5941000,997005.213
106000,5941000,107000,5942000,997005.231
106000,5942000,107000,5943000,997005.289
106000,5943000,107000,5944000,997005.381
106000,5944000,107000,5945000,997005.35
106000,5945000,107000,5946000,997005.098
106000,5946000,107000,5947000,997005.269
106000,5947000,107000,5948000,997005.418
106000,5948000,107000,5949000,997005.296
106000,5949000,107000,5950000,997005.391
106000,5950000,107000,5951000,997005.254
106000,5951000,107000,5952000,997005.313
106000,5952000,107000,5953000,997005.334
106000,5953000,107000,5954000,997005.335
106000,5954000,107000,5955000,997005.377
106000,5961000,107000,5962000,997005.429
106000,5962000,107000,5963000,997005.452
106000,5963000,107000,5964000,997005.4
106000,5964000,107000,5965000,997005.357
106000,5965000,107000,5966000,997005.496
106000,5966000,107000,5967000,997005.453
106000,5967000,107000,5968000,997005.421
106000,5968000,107000,5969000,997005.507
106000,5969000,107000,5970000,997005.473
106000,5970000,107000,5971000,997005.369
106000,5971000,107000,5972000,997005.52
106000,5972000,107000,5973000,997005.375
106000,5973000,107000,5974000,997005.55
106000,5974000,107000,5975000,997005.432
106000,5975000,107000,5976000,997005.707
106000,5976000,107000,5977000,997005.41
106000,5977000,107000,5978000,997005.621
107000,5931000,108000,5932000,997024.396
107000,5932000,108000,5933000,997024.411
107000,5933000,108000,5934000,997024.299
107000,5934000,108000,5935000,997024.52
107000,5935000,108000,5936000,997024.381
107000,5936000,108000,5937000,997024.353
107000,5937000,108000,5938000,997024.401
107000,5938000,108000,5939000,997024.506
107000,5939000,108000,5940000,997024.558
107000,5940000,108000,5941000,997024.376
107000,5941000,108000,5942000,997024.543
107000,5942000,108000,5943000,997024.493
107000,5943000,108000,5944000,997024.408
107000,5944000,108000,5945000,997024.486
107000,5945000,108000,5946000,997024.517
107000,5946000,108000,5947000,997024.467
107000,5947000,108000,5948000,997024.607
107000,5948000,108000,5949000,997024.417
107000,5949000,108000,5950000,997024.466
107000,5950000,108000,5951000,997024.546
