Short_Name,Collection,Keyword,Spatial_Resolution (m),Temporal_Resolution,Path,Time_lag[d],Number of Attributes,Attribute_0,Attribute_1,Attribute_2,Attribute_3,Attribute_4,Attribute_5,Attribute_6,Attribute_7,Attribute_8,Attribute_9,Attribute_10,Attribute_11,Attribute_12,Attribute_13,Attribute_14,Attribute_15,Attribute_16,Attribute_17,Attribute_18,Attribute_19,Attribute_20,Attribute_21,Attribute_22,Attribute_23,Attribute_24,Attribute_25,Attribute_26,Attribute_27,Attribute_28,Attribute_29,Attribute_30,Attribute_31,Attribute_32,Attribute_33,Attribute_34,Attribute_35,Attribute_36,Attribute_37,Attribute_38,Attribute_39,Attribute_40,Attribute_41,Attribute_42,Attribute_43,Attribute_44,Attribute_45,Attribute_46,Attribute_47,Attribute_48,Attribute_49,Attribute_50,Attribute_51,Attribute_52,Attribute_53,Attribute_54,Attribute_55,Attribute_56,Attribute_57,Attribute_58,Attribute_59,Attribute_60,Attribute_61,Attribute_62,Attribute_63,Attribute_64,Attribute_65,Attribute_66,Attribute_67,Attribute_68,Attribute_69,Attribute_70,Attribute_71,Attribute_72,Attribute_73,Attribute_74
MCD43D20.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter2_Band7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D21.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter3_Band7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D22.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter1_vis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D23.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter2_vis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D24.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter3_vis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D25.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter1_nir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D26.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter2_nir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D27.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter3_nir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D28.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter1_shortwave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D29.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter2_shortwave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D30.006,Combined MODIS,Bidirectional Reflectance Distribution Function (BRDF),1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Parameter3_shortwave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D31.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Elevation, Quality",1000,Daily,MOTA,9,8.0,[21600x43200] BRDF_Quality MCD_CMG_BRDF_30Arc Second (8-bit unsigned integer),[21600x43200] BRDF_Albedo_Band_Quality_Band1 MCD_CMG_BRDF_Band_Quality_Band1_30Arc Second (8-bit unsigned integer),[21600x43200] BRDF_Albedo_Band_Quality_Band2 MCD_CMG_BRDF_Band_Quality_Band2_30Arc Second (8-bit unsigned integer),[21600x43200] BRDF_Albedo_Band_Quality_Band3 MCD_CMG_BRDF_Band_Quality_Band3_30Arc Second (8-bit unsigned integer),[21600x43200] BRDF_Albedo_Band_Quality_Band4 MCD_CMG_BRDF_Band_Quality_Band4_30Arc Second (8-bit unsigned integer),[21600x43200] BRDF_Albedo_Band_Quality_Band5 MCD_CMG_BRDF_Band_Quality_Band5_30Arc Second (8-bit unsigned integer),[21600x43200] BRDF_Albedo_Band_Quality_Band6 MCD_CMG_BRDF_Band_Quality_Band6_30Arc Second (8-bit unsigned integer),[21600x43200] BRDF_Albedo_Band_Quality_Band7 MCD_CMG_BRDF_Band_Quality_Band7_30Arc Second (8-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D32.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9,1.0,Global_Local_Solar_Noon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D33.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9,1.0,Global_BRDF_ValidObs_Band1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D34.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9,1.0,Global_BRDF ValidObs_Band2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D35.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9,1.0,Global_BRDF ValidObs_Band3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D36.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9,1.0,Global_BRDF ValidObs_Band4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D37.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9,1.0,Global_BRDF ValidObs_Band5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D38.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9,1.0,Global_BRDF ValidObs_Band6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D39.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9,1.0,Global_BRDF ValidObs_Band7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D40.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF), Quality",1000,Daily,MOTA,9,1.0,Global_Snow_Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D41.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF)",1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_Uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D42.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_BSA_Band1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D43.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_BSA_Band2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D44.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_BSA_Band3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D45.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_BSA_Band4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D46.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_BSA_Band5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D47.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_BSA_Band6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D48.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_BSA_Band7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D49.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_BSA_VIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D50.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_BSA_NIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D51.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_BSA_Shortwave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D52.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_WSA_Band1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D53.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_WSA_Band2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D54.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_WSA_Band3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D55.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_WSA_Band4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D56.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_WSA_Band5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D57.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_WSA_Band6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D58.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_WSA_Band7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D59.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_WSA_VIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D60.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_WSA_NIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D61.006,Combined MODIS,Albedo,1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_WSA_Shortwave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D62.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_NBAR_Band1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D63.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_NBAR_Band2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D64.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_NBAR_Band3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D65.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_NBAR_Band4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D66.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_NBAR_Band5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D67.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_NBAR_Band6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43D68.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9,1.0,Global_BRDF_Albedo_NBAR_Band7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD43GF.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF)",1000,Daily,MOTA,565,67.0,bsa_Band1,bsa_Band2,bsa_Band3,bsa_Band4,bsa_Band5,bsa_Band6,bsa_Band7,bsa_nir,bsa_shortwave,bsa_vis,geo_Band1,geo_Band2,geo_Band3,geo_Band4,geo_Band5,geo_Band6,geo_Band7,geo_nir,geo_shortwave,geo_vis,iso_Band1,iso_Band2,iso_Band3,iso_Band4,iso_Band5,iso_Band6,iso_Band7,iso_nir,iso_shortwave,iso_vis,nbar_Band1,nbar_Band2,nbar_Band3,nbar_Band4,nbar_Band5,nbar_Band6,nbar_Band7,qa_Band1,qa_Band2,qa_Band3,qa_Band4,qa_Band5,qa_Band6,qa_Band7,qa_nir,qa_shortwave,qa_vis,vol_Band1,vol_Band2,vol_Band3,vol_Band4,vol_Band5,vol_Band6,vol_Band7,vol_nir,vol_shortwave,vol_vis,wsa_Band1,wsa_Band2,wsa_Band3,wsa_Band4,wsa_Band5,wsa_Band6,wsa_Band7,wsa_nir,wsa_shortwave,wsa_vis,,,,,,,,
MCD64A1.006,Combined MODIS,"Burned Area, Thermal Anomalies and Fire",500,Monthly,MOTA,78,5.0,[2400x2400] Burn Date MOD_Grid_Monthly_500m_DB_BA (16-bit integer),[2400x2400] Burn Date Uncertainty MOD_Grid_Monthly_500m_DB_BA (8-bit unsigned integer),[2400x2400] QA MOD_Grid_Monthly_500m_DB_BA (8-bit unsigned integer),[2400x2400] First Day MOD_Grid_Monthly_500m_DB_BA (16-bit integer),[2400x2400] Last Day MOD_Grid_Monthly_500m_DB_BA (16-bit integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOD09A1.006,Terra MODIS,Surface Reflectance,500,Multi-Day,MOLT,11,13.0,[2400x2400] sur_refl_b01 MOD_Grid_500m_Surface_Reflectance (16-bit integer),[2400x2400] sur_refl_b02 MOD_Grid_500m_Surface_Reflectance (16-bit integer),[2400x2400] sur_refl_b03 MOD_Grid_500m_Surface_Reflectance (16-bit integer),[2400x2400] sur_refl_b04 MOD_Grid_500m_Surface_Reflectance (16-bit integer),[2400x2400] sur_refl_b05 MOD_Grid_500m_Surface_Reflectance (16-bit integer),[2400x2400] sur_refl_b06 MOD_Grid_500m_Surface_Reflectance (16-bit integer),[2400x2400] sur_refl_b07 MOD_Grid_500m_Surface_Reflectance (16-bit integer),[2400x2400] sur_refl_qc_500m MOD_Grid_500m_Surface_Reflectance (32-bit unsigned integer),[2400x2400] sur_refl_szen MOD_Grid_500m_Surface_Reflectance (16-bit integer),[2400x2400] sur_refl_vzen MOD_Grid_500m_Surface_Reflectance (16-bit integer),[2400x2400] sur_refl_raz MOD_Grid_500m_Surface_Reflectance (16-bit integer),[2400x2400] sur_refl_state_500m MOD_Grid_500m_Surface_Reflectance (16-bit unsigned integer),[2400x2400] sur_refl_day_of_year MOD_Grid_500m_Surface_Reflectance (16-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOD09CMG.006,Terra MODIS,Surface Reflectance,5600,Daily,MOLT,1,25.0,[3600x7200] Coarse Resolution Surface Reflectance Band 1 MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution Surface Reflectance Band 2 MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution Surface Reflectance Band 3 MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution Surface Reflectance Band 4 MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution Surface Reflectance Band 5 MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution Surface Reflectance Band 6 MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution Surface Reflectance Band 7 MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution Solar Zenith Angle MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution View Zenith Angle MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution Relative Azimuth Angle MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution Ozone MOD09CMG (8-bit unsigned integer),[3600x7200] Coarse Resolution Brightness Temperature Band 20 MOD09CMG (16-bit unsigned integer),[3600x7200] Coarse Resolution Brightness Temperature Band 21 MOD09CMG (16-bit unsigned integer),[3600x7200] Coarse Resolution Brightness Temperature Band 31 MOD09CMG (16-bit unsigned integer),[3600x7200] Coarse Resolution Brightness Temperature Band 32 MOD09CMG (16-bit unsigned integer),[3600x7200] Coarse Resolution Granule Time MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution Band 3 Path Radiance MOD09CMG (16-bit integer),[3600x7200] Coarse Resolution QA MOD09CMG (32-bit unsigned integer),[3600x7200] Coarse Resolution Internal CM MOD09CMG (16-bit unsigned integer),[3600x7200] Coarse Resolution State QA MOD09CMG (16-bit unsigned integer),[3600x7200] Coarse Resolution Number Mapping MOD09CMG (32-bit unsigned integer),[3600x7200] number of 500m pixels averaged b3-7 MOD09CMG (16-bit unsigned integer),[3600x7200] number of 500m rej. detector MOD09CMG (8-bit unsigned integer),[3600x7200] number of 250m pixels averaged b1-2 MOD09CMG (16-bit unsigned integer),[3600x7200] n pixels averaged MOD09CMG (8-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOD09GA.006,Terra MODIS,Surface Reflectance,"500, 1000",Daily,MOLT,1,22.0,[1200x1200] num_observations_1km MODIS_Grid_1km_2D (8-bit integer),[1200x1200] state_1km_1 MODIS_Grid_1km_2D (16-bit unsigned integer),[1200x1200] SensorZenith_1 MODIS_Grid_1km_2D (16-bit integer),[1200x1200] SensorAzimuth_1 MODIS_Grid_1km_2D (16-bit integer),[1200x1200] Range_1 MODIS_Grid_1km_2D (16-bit unsigned integer),[1200x1200] SolarZenith_1 MODIS_Grid_1km_2D (16-bit integer),[1200x1200] SolarAzimuth_1 MODIS_Grid_1km_2D (16-bit integer),[1200x1200] gflags_1 MODIS_Grid_1km_2D (8-bit unsigned integer),[1200x1200] orbit_pnt_1 MODIS_Grid_1km_2D (8-bit integer),[1200x1200] granule_pnt_1 MODIS_Grid_1km_2D (8-bit unsigned integer),[2400x2400] num_observations_500m MODIS_Grid_500m_2D (8-bit integer),[2400x2400] sur_refl_b01_1 MODIS_Grid_500m_2D (16-bit integer),[2400x2400] sur_refl_b02_1 MODIS_Grid_500m_2D (16-bit integer),[2400x2400] sur_refl_b03_1 MODIS_Grid_500m_2D (16-bit integer),[2400x2400] sur_refl_b04_1 MODIS_Grid_500m_2D (16-bit integer),[2400x2400] sur_refl_b05_1 MODIS_Grid_500m_2D (16-bit integer),[2400x2400] sur_refl_b06_1 MODIS_Grid_500m_2D (16-bit integer),[2400x2400] sur_refl_b07_1 MODIS_Grid_500m_2D (16-bit integer),[2400x2400] QC_500m_1 MODIS_Grid_500m_2D (32-bit unsigned integer),[2400x2400] obscov_500m_1 MODIS_Grid_500m_2D (8-bit integer),[2400x2400] iobs_res_1 MODIS_Grid_500m_2D (8-bit unsigned integer),[2400x2400] q_scan_1 MODIS_Grid_500m_2D (8-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOD09GQ.006,Terra MODIS,Surface Reflectance,250,Daily,MOLT,2,8.0,[4800x4800] num_observations MODIS_Grid_2D (8-bit integer),[4800x4800] sur_refl_b01_1 MODIS_Grid_2D (16-bit integer),[4800x4800] sur_refl_b02_1 MODIS_Grid_2D (16-bit integer),[4800x4800] QC_250m_1 MODIS_Grid_2D (16-bit unsigned integer),[4800x4800] obscov_1 MODIS_Grid_2D (8-bit integer),[4800x4800] iobs_res_1 MODIS_Grid_2D (8-bit unsigned integer),[4800x4800] orbit_pnt_1 MODIS_Grid_2D (8-bit integer),[4800x4800] granule_pnt_1 MODIS_Grid_2D (8-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOD09Q1.006,Terra MODIS,Surface Reflectance,250,Multi-Day,MOLT,12,4.0,[4800x4800] sur_refl_b01 MOD_Grid_250m_Surface_Reflectance (16-bit integer),[4800x4800] sur_refl_b02 MOD_Grid_250m_Surface_Reflectance (16-bit integer),[4800x4800] sur_refl_state_250m MOD_Grid_250m_Surface_Reflectance (16-bit unsigned integer),[4800x4800] sur_refl_qc_250m MOD_Grid_250m_Surface_Reflectance (16-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOD11A1.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",1000,Daily,MOLT,1,12.0,[1200x1200] LST_Day_1km MODIS_Grid_Daily_1km_LST (16-bit unsigned integer),[1200x1200] QC_Day MODIS_Grid_Daily_1km_LST (8-bit unsigned integer),[1200x1200] Day_view_time MODIS_Grid_Daily_1km_LST (8-bit unsigned integer),[1200x1200] Day_view_angl MODIS_Grid_Daily_1km_LST (8-bit unsigned integer),[1200x1200] LST_Night_1km MODIS_Grid_Daily_1km_LST (16-bit unsigned integer),[1200x1200] QC_Night MODIS_Grid_Daily_1km_LST (8-bit unsigned integer),[1200x1200] Night_view_time MODIS_Grid_Daily_1km_LST (8-bit unsigned integer),[1200x1200] Night_view_angl MODIS_Grid_Daily_1km_LST (8-bit unsigned integer),[1200x1200] Emis_31 MODIS_Grid_Daily_1km_LST (8-bit unsigned integer),[1200x1200] Emis_32 MODIS_Grid_Daily_1km_LST (8-bit unsigned integer),[1200x1200] Clear_day_cov MODIS_Grid_Daily_1km_LST (16-bit unsigned integer),[1200x1200] Clear_night_cov MODIS_Grid_Daily_1km_LST (16-bit unsigned integer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
