Short_Name,Collection,Keyword,Spatial_Resolution (m),Temporal_Resolution,Path,Time_lag[d]
MCD43D65.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9999
MCD43D66.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9999
MCD43D67.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9999
MCD43D68.006,Combined MODIS,"Bidirectional Reflectance Distribution Function (BRDF), Surface Reflectance",1000,Daily,MOTA,9999
MCD43GF.006,Combined MODIS,"Albedo, Bidirectional Reflectance Distribution Function (BRDF)",1000,Daily,MOTA,9999
MCD64A1.006,Combined MODIS,"Burned Area, Thermal Anomalies and Fire",500,Monthly,MOTA,9999
MOD09A1.006,Terra MODIS,Surface Reflectance,500,Multi-Day,MOLT,9999
MOD09CMG.006,Terra MODIS,Surface Reflectance,5600,Daily,MOLT,9999
MOD09GA.006,Terra MODIS,Surface Reflectance,"500, 1000",Daily,MOLT,9999
MOD09GQ.006,Terra MODIS,Surface Reflectance,250,Daily,MOLT,9999
MOD09Q1.006,Terra MODIS,Surface Reflectance,250,Multi-Day,MOLT,9999
MOD11A1.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",1000,Daily,MOLT,9999
MOD11A2.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",1000,Multi-Day,MOLT,9999
MOD11B1.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Daily,MOLT,9999
MOD11B2.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Multi-Day,MOLT,9999
MOD11B3.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Monthly,MOLT,9999
MOD11C1.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Daily,MOLT,9999
MOD11C2.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Multi-Day,MOLT,9999
MOD11C3.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",5600,Monthly,MOLT,9999
MOD11_L2.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",1000,< Daily,MOLT,9999
MOD13A1.006,Terra MODIS,Vegetation Indices (VI),500,Multi-Day,MOLT,9999
MOD13A2.006,Terra MODIS,Vegetation Indices (VI),1000,Multi-Day,MOLT,9999
MOD13A3.006,Terra MODIS,Vegetation Indices (VI),1000,Monthly,MOLT,9999
MOD13C1.006,Terra MODIS,Vegetation Indices (VI),5600,Multi-Day,MOLT,9999
MOD13C2.006,Terra MODIS,Vegetation Indices (VI),5600,Monthly,MOLT,9999
MOD13Q1.006,Terra MODIS,Vegetation Indices (VI),250,Multi-Day,MOLT,9999
MOD14.006,Terra MODIS,Thermal Anomalies and Fire,1000,< Daily,MOLT,9999
MOD14A1.006,Terra MODIS,Thermal Anomalies and Fire,1000,Daily,MOLT,9999
MOD14A2.006,Terra MODIS,Thermal Anomalies and Fire,1000,Multi-Day,MOLT,9999
MOD15A2H.006,Terra MODIS,"Fraction of Photosynthetically Active Radiation (FPAR), Leaf Area Index (LAI)",500,Multi-Day,MOLT,9999
MOD16A2.006,Terra MODIS,Evapotranspiration (ET),500,Multi-Day,MOLT,9999
MOD16A2GF.006,Terra MODIS,Evapotranspiration (ET),500,Multi-Day,MOLT,9999
MOD16A3.006,Terra MODIS,Evapotranspiration (ET),500,Yearly,MOLT,9999
MOD16A3GF.006,Terra MODIS,Evapotranspiration (ET),500,Yearly,MOLT,9999
MOD17A2H.006,Terra MODIS,Gross Primary Productivity (GPP),500,Multi-Day,MOLT,9999
MOD17A2HGF.006,Terra MODIS,Gross Primary Productivity (GPP),500,Multi-Day,MOLT,9999
MOD17A3.055,Terra MODIS,Net Primary Productivity (NPP),1000,Yearly,MOLT,9999
MOD17A3H.006,Terra MODIS,Net Primary Productivity (NPP),500,Yearly,MOLT,9999
MOD17A3HGF.006,Terra MODIS,Net Primary Productivity (NPP),500,Yearly,MOLT,9999
MOD21.006,Terra MODIS,"Emissivity, Land Surface Temperature (LST)",1000,< Daily,MOLT,9999
